Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,Packet Length Variance,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Fwd Act Data Pkts,Active Mean,Active Std,Idle Mean,Idle Std,Label
4015739,3,0,108,0,36,0,0,0,26.8941781326,0.747060503683,2007.8695,211.424927575,4015739,2007.8695,211.424927575,0,0,0,24,0,0.747060503683,0,36,0,0,0,48,36,0,0,0,0,2,0,0,0,0,dns
273,1,1,36,509,36,0,509,0,1996336.99634,7326.00732601,273,0,0,0,0,0,0,0,8,8,3663.003663,3663.003663,193.666666667,273.086677327,74576.3333333,1,290.5,36,509,0,0,0,0,0,0,0,0,dns
312,2,2,60,581,30,0,290.5,290.620887068,2054487.17949,12820.5128205,104,114.590575529,65,65,0,14,14,0,16,16,6410.25641026,6410.25641026,134.2,203.649699239,41473.2,1,167.75,30,290.5,641,4,2054487,1,0,0,0,0,dns
317,2,2,92,599,46,0,299.5,177.483802078,2179810.72555,12618.29653,0.105666666667,133.031324632,37,37,0,21,21,0,16,16,6309.14826498,6309.14826498,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,2179810,1,0,0,0,0,dns
285,2,2,92,599,46,0,299.5,177.483802078,2424561.40351,14035.0877193,95,113.459243784,31,31,0,28,28,0,16,16,7017.54385965,7017.54385965,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,2424561,1,0,0,0,0,dns
25189,2,2,92,530,46,0,265,128.693434176,24693.318512,158.799475962,8.39633333333,14303.2134268,58,58,0,24912,24912,0,16,16,79.3997379809,79.3997379809,133.6,136.120534821,18528.8,1,167,46,265,622,4,24693,1,0,0,0,0,dns
25075,2,2,92,530,46,0,265,128.693434176,24805.5832502,159.521435693,8.35833333333,14211.6023844,45,45,0,24768,24768,0,16,16,79.7607178465,79.7607178465,133.6,136.120534821,18528.8,1,167,46,265,622,4,24805,1,0,0,0,0,dns
23597,1,1,32,438,32,0,438,0,19917.7861593,84.7565368479,23597,0,0,0,0,0,0,0,8,8,42.378268424,42.378268424,167.333333333,234.404209291,54945.3333333,1,251,32,438,0,0,0,0,0,0,0,0,dns
28807,1,1,32,377,32,0,377,0,14197.9380012,69.4275696879,28807,0,0,0,0,0,0,0,8,8,34.713784844,34.713784844,147,199.18584287,39675,1,220.5,32,377,0,0,0,0,0,0,0,0,dns
686,2,2,92,530,46,0,265,128.693434176,906705.539359,5830.90379009,0.228666666667,71.8980760058,538,538,0,400,0.4,0,16,16,2915.45189504,2915.45189504,133.6,136.120534821,18528.8,1,167,46,265,622,4,906705,1,0,0,0,0,dns
134703548,28,28,504,2576,18,0,92,0,22.8650250549,0.41572772827,2449.15541818,2516850.11409,134703261,4989.00966667,3637.2707435,134703235,4989.0087037,3671.39072177,224,224,0.207863864135,0.207863864135,54.350877193,37.3231502403,1393.01754386,1,55.3214285714,18,92,0,0,0,27,0,0,0,0,dns
293,2,2,92,599,46,0,299.5,177.483802078,2358361.77474,13651.8771331,0.0976666666667,110.726389507,44,44,0,24,24,0,16,16,6825.93856655,6825.93856655,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,2358361,1,0,0,0,0,dns
339,2,2,92,599,46,0,299.5,177.483802078,2038348.0826,11799.4100295,113,147.712558708,40,0.04,0,16,16,0,16,16,5899.70501475,5899.70501475,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,2038348,1,0,0,0,0,dns
23615,2,2,92,599,46,0,299.5,177.483802078,29261.0628838,169.383866187,7.87166666667,13355.6259806,63,63,0,23293,23293,0,16,16,84.6919330934,84.6919330934,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,29261,1,0,0,0,0,dns
363,2,2,92,599,46,0,299.5,177.483802078,1903581.26722,11019.2837466,121,75.7165767847,85,85,0,70,0.07,0,16,16,5509.64187328,5509.64187328,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,1903581,1,0,0,0,0,dns
