Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
1001217,8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.981767189330585,71515.5,107314.0094616298,238492.0,8.0,1001217.0,143031.0,125947.23698041176,247185.0,660.0,753631.0,125605.16666666666,137868.3734283054,267425.0,8.0,0,0,0,0,172,152,7.990275834309645,6.99149135502094,0.0,0.0,0.0,0.0,0.0,0,2,0,5,14,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,2047,0,20,0,0,0,0,0,0,0,0,https
35,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,57142.857142857145,35.0,0.0,35.0,35.0,35.0,35.0,0.0,35.0,35.0,0,0,0,0,0,0,0,0,0,48,0,57142.857142857145,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1460,0,0,24,0,0,0,0,0,0,0,0,https
171167,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,11.684495259016048,171167.0,0.0,171167.0,171167.0,171167.0,171167.0,0.0,171167.0,171167.0,0,0,0,0,0,1,0,0,0,40,0,11.684495259016048,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,517,0,0,20,0,0,0,0,0,0,0,0,https
4775012,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.8376942298783752,1591670.6666666665,2707962.1579234325,4718516.0,14546.0,4775012.0,1591670.6666666665,2707962.1579234325,4718516.0,14546.0,0,0,0,0,0,1,0,0,0,80,0,0.8376942298783752,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,0,0,8,0,0,20,0,0,0,0,0,0,0,0,https
152518,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,19.669809465112316,76259.0,105951.4658794299,151178.0,1340.0,152518.0,76259.0,105951.4658794299,151178.0,1340.0,0,0,0,0,0,1,0,0,0,96,0,19.669809465112316,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2048,0,0,32,0,0,0,0,0,0,0,0,https
674697,8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.267908409256304,56224.75,94853.28940491109,213863.0,11.0,674697.0,96385.28571428572,117565.52234919087,223373.0,11.0,452458.0,113114.5,130610.73587700719,228704.0,14.0,0,0,0,0,172,112,11.857174405696187,7.410734003560116,0.0,0.0,0.0,0.0,0.0,0,2,0,5,12,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,2051,0,20,0,0,0,0,0,0,0,0,https
204841,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.527340717922684,68280.33333333333,75394.97800472743,149822.0,1097.0,204841.0,204841.0,0.0,204841.0,204841.0,149822.0,149822.0,0.0,149822.0,149822.0,1,0,0,0,40,40,9.763670358961342,9.763670358961342,0.0,0.0,0.0,0.0,0.0,0,0,0,2,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1025,269,0,20,0,0,0,0,0,0,0,0,https
15759639,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6345323011523297,1751071.0,4969623.278668238,1.5001385E7,7863.0,1.5759639E7,3151927.8,6624047.952874791,1.5001385E7,189333.0,1.5569843E7,5189947.666666666,8661352.446747236,1.5191216E7,189297.0,1,0,0,0,120,80,0.3807193806913978,0.2538129204609319,0.0,0.0,0.0,0.0,0.0,0,0,0,6,10,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6,0,4,0,4,1025,0,20,0,0,0,0,0,0,0,0,https
264453,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.562780531890355,264453.0,0.0,264453.0,264453.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,3.7813902659451775,3.7813902659451775,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2048,167,0,20,0,0,0,0,0,0,0,0,https
215191,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.294068989874113,215191.0,0.0,215191.0,215191.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,4.647034494937056,4.647034494937056,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1029,2050,0,20,0,0,0,0,0,0,0,0,https
