Fwd Packet Length Mean,Fwd Packet Length Std,Bwd IAT Total,Packet Length Mean,Label,NormFwd_Packet_Length_Mean,NormPacket_Length_Mean,NormFwd_Packet_Length_Std,NormBwd_IAT_Total
99.2130177515,241.936013457,103935.0,1295.53606661,video,0.661420118343,8.63690711075,3.36101023823,8.66277373642e-05
131.474576271,286.068840976,181408.0,1282.73571895,video,0.876497175141,8.55157145963,3.97410988807,0.000151199928607
96.7921348315,240.135868923,82789.0,1269.02336383,video,0.645280898876,8.46015575886,3.33600236892,6.90029705936e-05
120.399610136,138.417277083,197696.0,1094.85209632,video,0.802664067576,7.29901397547,1.92291291724,0.000164775649838
205.708609272,365.276152866,100394.0,1208.67806425,video,1.37139072848,8.05785376166,5.07446936909,8.36763849035e-05
56.3531375167,146.31443304,278524.0,1075.30432208,video,0.375687583445,7.16869548056,2.0326213548,0.000232144166273
507.177570093,568.979070372,341114.0,672.148472337,video,3.38118380062,4.48098981558,7.90433988531,0.000284311675598
157.806451613,319.089900028,175859.0,1289.3416311,video,1.05204301075,8.59561087403,4.43284323647,0.000146574948431
162.64978903,329.733507186,61254.0,1272.66763931,video,1.08433192686,8.48445092871,4.58070577301,5.10539801271e-05
144.092664093,304.319107281,165023.0,1298.19208607,video,0.960617760618,8.65461390716,4.22764523829,0.000137543359822
196.670886076,358.216117139,153158.0,1276.30825211,video,1.31113924051,8.50872168075,4.97639032735,0.000127654120356
127.471052632,285.341727871,161657.0,1290.92039368,video,0.849807017544,8.60613595785,3.96400872721,0.00013473786635
168.913300493,330.680255855,323917.0,1276.97622243,video,1.12608866995,8.51317481621,4.59385814302,0.000269978321103
46.8278171789,113.713014893,166763.0,935.041433303,video,0.312185447859,6.23360955535,1.57971771881,0.000138993614914
202.929292929,360.295342198,119857.0,1243.15153082,video,1.35286195286,8.28767687216,5.00527522385,9.98984049383e-05
46.2868089765,111.976518089,141281.0,950.601138459,video,0.30857872651,6.33734092306,1.555594053,0.000117754879132
42.6696512724,92.6293871227,212290.0,994.909572176,video,0.284464341816,6.63273048117,1.28682089959,0.000176939456055
189.863270777,353.984203291,124977.0,1268.56086287,video,1.26575513852,8.45707241911,4.91759996552,0.000104165822221
105.325,257.11560285,111267.0,1290.0003213,video,0.702166666667,8.60000214202,3.57188729879,9.27388122702e-05
78.9178082192,199.126788299,309515.0,1218.27661721,video,0.526118721461,8.12184411474,2.76629826464,0.000257974543034
94.3783783784,237.134628537,45618.0,1254.59055638,video,0.629189189189,8.36393704254,3.29430870157,3.80216878153e-05
113.930434783,270.173346319,91259.0,1292.88503194,video,0.759536231884,8.61923354624,3.7532873676,7.60625456691e-05
75.1788321168,202.319459205,27793.0,1220.84936451,video,0.501192214112,8.13899576338,2.81065131258,2.3164907919e-05
46.8285580085,115.663477958,75062.0,839.502447272,video,0.312190386723,5.59668298182,1.60681383499,6.25626711121e-05
234.247081712,389.129574745,123306.0,1225.99574059,video,1.56164721141,8.17330493725,5.40584457034,0.000102773077245
117.879275654,137.054650977,146214.0,1110.2781362,video,0.785861837693,7.40185424134,1.90398311748,0.000121866435666
202.703597122,366.441100081,119551.0,1243.91599769,video,1.35135731415,8.29277331796,5.09065298499,9.96433600772e-05
151.976190476,313.509572262,601358.0,1283.80918102,video,1.01317460317,8.55872787348,4.35532051264,0.000501219828603
127.284507042,291.247965373,76395.0,1221.6991251,video,0.848563380282,8.144660834,4.04605903642,6.36736998695e-05
115.307142857,272.257807835,37551.0,1278.21059113,video,0.768714285714,8.52140394089,3.78224500974,3.12980051548e-05
136.256493506,295.766732613,116094.0,1278.82255145,video,0.908376623377,8.52548367634,4.10883440723,9.67620199313e-05
77.9861111111,198.596854476,13053.0,1293.04471778,video,0.519907407407,8.62029811856,2.758936347,1.08794136317e-05
142.180176211,301.782129258,464145.0,1270.80350157,video,0.94786784141,8.47202334379,4.19240117112,0.00038685554586
177.602787456,336.870166447,323400.0,1273.9624452,video,1.18401858304,8.49308296797,4.67984928,0.000269547411975
145.1875,307.428161543,51277.0,1299.43970988,video,0.967916666667,8.66293139921,4.27083667166,4.27383507849e-05
153.4,311.940520898,173328.0,1274.92360833,video,1.02266666667,8.4994907222,4.3335230232,0.000144465410707
126.327413127,277.784018149,383719.0,1285.80978675,video,0.842182754183,8.57206524502,3.85901592606,0.00031982208836
239.170940171,395.830349341,113526.0,1232.2523473,video,1.59447293447,8.21501564869,5.49893270427,9.46216434503e-05
154.461267606,315.259309711,237559.0,1271.13192159,video,1.02974178404,8.47421281061,4.37962811943,0.00019800066061
189.680084746,353.372026879,252005.0,1242.35645997,video,1.26453389831,8.28237639977,4.90909552188,0.000210041111796
181.182186235,347.321134971,159068.0,1275.55170398,video,1.20788124157,8.50367802651,4.82503565266,0.00013257998679
142.258865248,300.547309703,122812.0,1281.22668056,video,0.948392434988,8.54151120375,4.1752468785,0.000102361338155
62.7057767136,93.0787348654,142883.0,735.557992203,video,0.418038511424,4.90371994802,1.2930633037,0.000119090113992
82.0894039735,209.318063471,111958.0,1247.81881796,video,0.547262693157,8.31879211971,2.90787693953,9.33147469074e-05
117.266112266,137.033806698,123044.0,1118.53645712,video,0.781774081774,7.45690971411,1.90369354573,0.000102554705501
186.971631206,348.085004328,265235.0,1266.06099722,video,1.24647754137,8.44040664816,4.83564743671,0.000221068051376
101.087912088,244.858033312,121785.0,1254.51587642,video,0.673919413919,8.36343917614,3.40160336246,0.000101505354259
167.094233474,326.688984712,222910.0,1279.02973947,video,1.11396155649,8.52686492977,4.53841082461,0.000185791012997
54.0377738042,86.4635739374,272746.0,542.397478705,video,0.360251825361,3.61598319137,1.20116452729,0.000227328319191
