@ATTRIBUTE Fwd_Segment_Size_Avg NUMERIC
@ATTRIBUTE Bwd_Segment_Size_Avg NUMERIC
@ATTRIBUTE Bwd_Bytes/Bulk_Avg NUMERIC
@ATTRIBUTE Bwd_Packet/Bulk_Avg NUMERIC
@ATTRIBUTE Bwd_Bulk_Rate_Avg NUMERIC
@ATTRIBUTE Fwd_Act_Data_Pkts NUMERIC
@ATTRIBUTE Active_Mean NUMERIC
@ATTRIBUTE Active_Std NUMERIC
@ATTRIBUTE Idle_Mean NUMERIC
@ATTRIBUTE Idle_Std NUMERIC
@ATTRIBUTE class {video,http,dns,ftp,ssh}
@DATA

0,1,1,41.0,77.0,41.0,0.0,77.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0.0,0.0,53.0,20.7846096908,432.0,1.0,79.5,41.0,77.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
21040,1,1,46.0,110.0,46.0,0.0,110.0,0.0,7414.448669201521,95.05703422053232,21.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,47.5285171103,47.5285171103,67.3333333333,36.9504172281,1365.33333333,1.0,101.0,46.0,110.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
22379,1,1,58.0,74.0,58.0,0.0,74.0,0.0,5898.386880557666,89.36949819026766,22.379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,44.6847490951,44.6847490951,63.3333333333,9.23760430703,85.3333333333,1.0,95.0,58.0,74.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
21271,1,1,52.0,164.0,52.0,0.0,164.0,0.0,10154.670678388415,94.02472850359644,21.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,47.0123642518,47.0123642518,89.3333333333,64.6632301492,4181.33333333,1.0,134.0,52.0,164.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
145,1,1,40.0,56.0,40.0,0.0,56.0,0.0,662068.9655172414,13793.103448275862,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,6896.55172414,6896.55172414,45.3333333333,9.23760430703,85.3333333333,1.0,68.0,40.0,56.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
22949,1,1,93.0,171.0,93.0,0.0,171.0,0.0,11503.769227417317,87.14976687437361,22.949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,43.5748834372,43.5748834372,119.0,45.0333209968,2028.0,1.0,178.5,93.0,171.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
1,1,1,37.0,37.0,37.0,0.0,37.0,0.0,7.4E7,2000000.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,1000000.0,1000000.0,37.0,0.0,0.0,1.0,55.5,37.0,37.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
21570,1,1,61.0,118.0,61.0,0.0,118.0,0.0,8298.562818729717,92.7213722763097,21.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,46.3606861382,46.3606861382,80.0,32.9089653438,1083.0,1.0,120.0,61.0,118.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
0,1,1,40.0,40.0,40.0,0.0,40.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0.0,0.0,40.0,0.0,0.0,1.0,60.0,40.0,40.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
27962,1,1,61.0,118.0,61.0,0.0,118.0,0.0,6401.54495386596,71.52564194263644,27.962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,35.7628209713,35.7628209713,80.0,32.9089653438,1083.0,1.0,120.0,61.0,118.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
0,1,1,41.0,77.0,41.0,0.0,77.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0.0,0.0,53.0,20.7846096908,432.0,1.0,79.5,41.0,77.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
9,1,1,34.0,99.0,34.0,0.0,99.0,0.0,1.4777777777777778E7,222222.22222222222,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,111111.111111,111111.111111,55.6666666667,37.5277674973,1408.33333333,1.0,83.5,34.0,99.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
22363,1,1,43.0,59.0,43.0,0.0,59.0,0.0,4561.105397308053,89.433439162903,22.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,44.7167195815,44.7167195815,48.3333333333,9.23760430703,85.3333333333,1.0,72.5,43.0,59.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
27862,1,1,67.0,118.0,67.0,0.0,118.0,0.0,6639.867920465149,71.78235589692054,27.862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,35.8911779485,35.8911779485,84.0,29.4448637287,867.0,1.0,126.0,67.0,118.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
