Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.254.93-34.120.115.102-43090-443-6,192.168.254.93,43090,34.120.115.102,443,6,13/12/2021 09:23:22 PM,111333331,13,3,282.0,78.0,39.0,0.0,21.692307692307697,18.620708075440344,39.0,0.0,26.0,22.516660498395403,3.2335330019003923,0.14371257786223965,7422222.066666666,1.9584889216691237E7,5.8109035E7,-1.0,1.11307044E8,9275586.999999998,2.1666594405044053E7,5.8109035E7,-1.0,1.11307413E8,5.56537065E7,3569816.564005005,5.8177948E7,5.3129465E7,1,0,0,0,416,96,0.11676646951306972,0.026946108349169936,0.0,39.0,23.470588235294116,18.5003974520104,342.2647058823529,2,0,0,10,16,0,0,0,0.0,24.9375,21.692307692307693,26.0,0,0,0,126,4,44680,6,141,1,39,501,269,7,32,47513.0,30296.697146718816,68936.0,26090.0,5.5604599E7,3541807.3572954247,5.8109035E7,5.3100163E7,NeedManualLabel
192.168.254.200-50.17.218.8-51567-443-6,192.168.254.200,51567,50.17.218.8,443,6,13/12/2021 09:25:08 PM,27869863,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.10764315561938716,1.39349315E7,1.9706967703826495E7,2.7869862E7,1.0,2.7869863E7,1.39349315E7,1.9706967703826495E7,2.7869862E7,1.0,0,0,0,0,0,0,0,0,0,60,0,0.10764315561938716,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,1021,0,0,20,1.0,0.0,1.0,1.0,2.7869862E7,0.0,2.7869862E7,2.7869862E7,NeedManualLabel
192.168.254.93-35.244.181.201-49712-443-6,192.168.254.93,49712,35.244.181.201,443,6,13/12/2021 09:22:52 PM,170830542,43,16,2200.0,4707.0,380.0,0.0,51.16279069767442,92.00852192222357,2800.0,0.0,294.1875,694.0813803150176,40.43188014939389,0.34537149686032137,2945354.172413794,1.2701022497800691E7,5.8707798E7,0.0,1.7080522E8,4066790.9523809534,1.4821667934376137E7,5.8715719E7,0.0,1.70804992E8,1.1386999466666667E7,2.355406290506257E7,5.8776537E7,46.0,0,0,0,0,1392,520,0.25171142991514944,0.0936600669451719,0.0,2800.0,115.11666666666665,374.70838793480544,140406.37598870063,2,3,0,30,57,0,0,0,0.0,117.0677966101695,51.16279069767442,294.1875,0,0,0,3315,12,24059,14,733,5,1569,64240,269,20,32,141702.33333333334,164551.87644124066,330176.0,26595.0,5.6793150333333336E7,3297958.910316551,5.8707798E7,5.2985015E7,NeedManualLabel
192.168.254.200-200.130.99.22-51587-443-6,192.168.254.200,51587,200.130.99.22,443,6,13/12/2021 09:25:15 PM,65323465,33,53,3664.0,188396.0,3039.0,0.0,111.03030303030307,534.8462679153986,29652.0,0.0,3554.6415094339623,6111.152994869737,2940.137973391338,1.3165253863982873,768511.3529411765,2610920.070415799,1.0001368E7,0.0,6.0512412E7,1891012.875,3973428.719520547,1.0038912E7,0.0,6.5281391E7,1255411.3653846155,3270276.484795929,1.0041412E7,0.0,0,0,0,0,804,1156,0.5051783459435288,0.8113470404547585,0.0,29652.0,2207.586206896552,5054.647774979961,2.5549464129109863E7,1,2,0,10,85,0,0,0,1.0,2233.2558139534885,111.03030303030303,3554.6415094339623,0,0,0,192023,43,688730,4,523,7,26913,64240,305,9,20,85283.33333333334,115430.87697954419,320897.0,37415.0,1.0000118666666666E7,1107.4014026838809,1.0001368E7,9998072.0,NeedManualLabel
192.168.254.200-200.130.99.22-51587-443-6,192.168.254.200,51587,200.130.99.22,443,6,13/12/2021 09:26:20 PM,38074,4,1,31.0,0.0,31.0,0.0,7.749999999999999,15.5,0.0,0.0,0.0,0.0,814.2039186846667,131.3232126910753,9518.5,18811.963542738788,37736.0,2.0,338.0,112.66666666666667,129.43853110002962,255.0,2.0,0,0,0,0,0,0,0,0,0,80,20,105.05857015286023,26.264642538215057,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666669,1,0,1,1,4,0,0,0,0.0,6.2,7.75,0.0,0,0,0,0,0,0,0,0,0,0,1025,0,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.254.200-200.130.99.22-51587-443-6,192.168.254.200,51587,200.130.99.22,443,6,13/12/2021 09:26:20 PM,1828,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,16958.424507658645,1094.0919037199126,1828.0,0.0,1828.0,1828.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,547.0459518599563,547.0459518599563,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,1,1,2,0,0,0,1.0,31.0,31.0,0.0,0,0,0,0,0,0,0,0,0,0,1025,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.254.200-52.40.105.243-51486-443-6,192.168.254.200,51486,52.40.105.243,443,6,13/12/2021 09:26:24 PM,165,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6060.606060606061,12121.212121212122,165.0,0.0,165.0,165.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,6060.606060606061,6060.606060606061,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,1,0,2,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.254.200-198.178.125.55-51592-443-6,192.168.254.200,51592,198.178.125.55,443,6,13/12/2021 09:25:21 PM,109520547,13,9,1336.0,6814.0,631.0,0.0,102.76923076923076,196.92856312470005,1643.0,0.0,757.1111111111111,726.2271415412062,74.41526017944378,0.20087554895064577,5215264.142857143,2.3028446718797356E7,1.05708405E8,0.0,1.09143664E8,9095305.333333334,3.04280506729094E7,1.05708405E8,0.0,1.09148755E8,1.3643594375E7,3.735497940287717E7,1.06085299E8,1.0,0,0,0,0,296,192,0.11869918801629069,0.08217636093435508,0.0,1643.0,354.3478260869564,567.8082749961911,322406.23715415027,2,2,0,8,21,0,0,0,0.0,370.45454545454544,102.76923076923077,757.1111111111111,0,0,0,4908,7,4120,6,668,4,3407,65535,129,4,20,3435259.0,0.0,3435259.0,3435259.0,1.05708405E8,0.0,1.05708405E8,1.05708405E8,NeedManualLabel
192.168.254.200-198.178.125.55-51589-443-6,192.168.254.200,51589,198.178.125.55,443,6,13/12/2021 09:25:20 PM,110322943,9,6,763.0,5043.0,450.0,0.0,84.77777777777777,153.56576586089898,4467.0,0.0,840.5,1782.309484909958,52.62731252555509,0.1359644657050166,7880210.214285714,2.817695218875341E7,1.05745835E8,2.0,1.09942021E8,1.3742752625E7,3.718591435220774E7,1.05745835E8,2.0,1.09972551E8,2.19945102E7,4.704829722830285E7,1.06126766E8,617.0,0,0,0,0,192,132,0.08157867942300996,0.05438578628200664,0.0,4467.0,362.8749999999999,1103.5781123237264,1217884.6499999994,2,2,0,6,14,0,0,0,0.0,387.06666666666666,84.77777777777777,840.5,0,0,0,5038,4,7070,4,381,3,2521,65535,123,3,20,4196186.0,0.0,4196186.0,4196186.0,1.05745835E8,0.0,1.05745835E8,1.05745835E8,NeedManualLabel
192.168.254.93-34.120.208.123-49398-443-6,192.168.254.93,49398,34.120.208.123,443,6,13/12/2021 09:23:19 PM,290682939,57,26,58558.0,457.0,5600.0,0.0,1027.333333333333,1472.255780539962,91.0,0.0,17.57692307692308,31.79581491570622,203.02189114717876,0.2855344736967862,3544913.890243902,1.3800778833579604E7,5.883625E7,5.0,2.90657432E8,5190311.285714286,1.6490512891608544E7,5.8867487E7,5.0,2.9065674E8,1.16262696E7,2.3366808571505774E7,5.88624E7,5.0,1,0,0,0,1824,844,0.19608993976767244,0.08944453392911375,0.0,5600.0,704.6309523809524,1298.2743113318318,1685516.1874641418,2,0,0,35,83,0,0,0,0.0,713.1204819277109,1027.3333333333333,17.576923076923077,0,0,0,19487,13,99637,9,9759,4,76,501,553,45,32,826025.4,1567640.2482930515,3621416.0,26163.0,5.73053462E7,2617427.262665899,5.883625E7,5.2644537E7,NeedManualLabel
