Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,Packet Length Variance,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Fwd Act Data Pkts,Active Mean,Active Std,Idle Mean,Idle Std,Label
288281,15528,20453,1081162.0,14999646.0,1337.0,29.0,69.6266099948,185.062340533,1337.0,28.0,733.371436953,474.154098159,5.578171298143131E7,124812.24915967406,8.01225680934,24.5440331035,1837.0,0.0,288214.0,18.5621176016,43.2740964048,2421.0,0.0,288275.0,14.0951985136,33.2797581644,1839.0,0.0,0,0,0,0,433968,571644,53864.1117521,70948.1374076,28.0,1337.0,446.949724862,500.667918357,250668.364472,0,0,0,0,0,0,0,0,1.0,446.962146689,69.6266099948,733.371436953,0,0,0,16080808,35981,55781712,0,0,0,0,0,0,15527,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,live
299195,16516,38255,1751512,40641878,106.049406636,266.270645503,1062.39388315,441.118016031,141691505.54,183061.21425826,5.46275333212,18.8970764941,299107,18.1112322131,32.8905398942,299163,7.82043707848,23.0725871068,233830,530215,55201.4572436,127859.757015,773.998137735,591.541945501,349921.873287,2,774.012269267,106.049406636,1062.39388315,42393390,54771,141691505,16515,0,0,0,0,live
330638,4824,20015,332494,26493794,68.9249585406,185.34980229,1323.6969273,124.689503758,81134920971,75124.4563540791,13.3117803366,235.551503227,330638,68.5544267054,534.477121045,330456,16.5112421305,270.220019041,49344,203568,14589.9745341,60534.48182,1080.00986312,515.353207502,265588.928483,4,1080.05334353,68.9249585406,1323.6969273,26826288,24839,81134920,4823,0,0,0,0,live
295689,1562,19867,314778,25051040,201.52240717,386.637497652,1260.9372326,248.504105565,85785463.7812026,72471.4142223756,13.7991879783,244.529974309,295648,189.396540679,896.392830246,295649,14.8821604752,256.126883153,19696,253772,5282.5773025,67188.8369199,1183.71269249,379.456421589,143987.175885,12,1183.76793131,201.52240717,1260.9372326,25365818,21429,85785463,1561,0,0,0,0,live
273842,3058,8322,418054,10548428,136.708306082,322.108976803,1267.53520788,273.547434271,40046749.5855274,41556.8101313896,24.0655593637,263.826243224,273828,89.5740922473,505.74385611,273800,32.9046989545,311.7501036,43656,116896,11167.02332,30389.7868114,963.695545207,577.82899241,333886.34447,2,963.780228471,136.708306082,1267.53520788,10966482,11380,40046749,3057,0,0,0,0,live
293688,7482,23568,518782,31051448,69.3373429564,187.917375605,1317.52579769,150.152122734,107495811.881997,105724.442265261,9.45885535766,167.981294404,293531,39.236866729,353.311292708,293527,12.4550006365,200.645417475,96488,301164,25476.0153632,80248.426902,1016.75842968,557.293968428,310576.567246,3,1016.79117552,69.3373429564,1317.52579769,31570230,31050,107495811,7481,0,0,0,0,live
292694,2560,7963,219690,10429409,85.81640625,228.705362665,1309.7336431,172.279293571,36383045.0914607,35952.2231408912,27.8173351074,362.662645396,292694,114.378272763,729.189955054,292652,36.7560914343,420.222757864,45224,138998,8746.33576363,27205.8873773,1011.99401368,557.624030342,310944.559215,3,1012.09018341,85.81640625,1309.7336431,10649099,10523,36383045,2559,0,0,0,0,live
294661,3300,9352,435038,11929298,131.82969697,310.164867467,1275.58789564,263.88309992,41961223.2361935,42937.4773044278,23.291518457,270.026725786,294500,89.2694755987,543.500924687,294501,31.4940648059,327.229569193,60168,169880,11199.310394,31738.1669104,977.275823915,573.381575142,328766.430712,2,977.353066709,131.82969697,1275.58789564,12364336,12652,41961223,3299,0,0,0,0,live
295324,3594,10109,463368,12932704,128.928213689,303.073369257,1279.32574933,256.289793171,45360593.788517,46399.8862266528,21.5533498759,241.09882304,295171,82.1516838297,485.600506575,295164,29.201028888,293.654661476,55416,155092,12169.6848207,34230.2014059,977.613032691,573.239691506,328603.743918,2,977.684375684,128.928213689,1279.32574933,13396072,13703,45360593,3593,0,0,0,0,live
468136,15402,74783,1753922,97369929,113.876249838,281.337309617,1302.03293529,190.535983,211741568689,192647.008561615,5.19089860729,107.458763764,468136,30.3964677618,259.091392536,468109,6.25964804365,118.694381412,222824,1089904,32900.6955244,159746.313037,1099.11946422,493.499698926,243541.95284,4,1099.13165161,113.876249838,1302.03293529,99123851,90185,211741568,15401,0,0,0,0,live
