NormFwd_Packet_Length_Mean,NormFwd_Packet_Length_Std,NormBwd_Packet_Length_Mean,NormBwd_Packet_Length_Std,NormFlow_IAT_Mean,NormFlow_IAT_Std,NormFwd_IAT_Mean,NormFwd_IAT_Std,NormBwd_IAT_Mean,NormPacket_Length_Mean,NormPacket_Length_Std,Label
0.275974,0.000000,2.324257,0.160815,0.000069,0.000308,0.031974,0.000000,0.075234,1.116136,2.670510,dns
0.227273,0.000000,0.910146,0.000000,0.189837,0.000000,0.000000,0.000000,0.000000,0.457306,0.951593,dns
0.292208,0.000000,3.828631,0.000000,0.229136,0.000000,0.000000,0.000000,0.000000,1.501100,4.839820,dns
0.373377,0.000000,2.252800,3.363707,0.000083,0.000308,0.031974,0.000000,0.209346,1.142490,2.920411,dns
0.219156,0.000000,0.767231,0.000000,0.127224,0.000000,0.000000,0.000000,0.000000,0.403049,0.767413,dns
0.373377,0.000000,3.144141,0.000000,10.000000,0.158480,10.000000,0.000000,0.000000,1.077382,3.296413,dns
0.373377,0.000000,2.252800,3.363707,0.005243,0.034727,0.033973,0.000000,10.000000,1.142490,2.920411,dns
0.373377,0.000000,2.252800,3.363707,0.075269,0.000312,0.042633,0.000000,0.081776,1.142490,2.920411,dns
0.251623,0.000000,2.610088,0.000000,10.000000,0.114796,10.000000,0.000000,0.000000,0.852604,2.800179,dns
0.292208,0.000000,3.828631,0.000000,0.235131,0.000000,0.000000,0.000000,0.000000,1.501100,4.839820,dns
0.373377,0.000000,2.252800,3.363707,0.000400,0.001964,0.038636,0.000000,4.788789,1.142490,2.920411,dns
0.275974,0.000000,2.324257,0.160815,0.000052,0.000209,0.030642,0.000000,0.058879,1.116136,2.670510,dns
0.308442,0.000000,2.745482,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,1.139389,3.345922,dns
0.292208,0.000000,3.828631,0.000000,0.208488,0.000000,0.000000,0.000000,0.000000,1.501100,4.839820,dns
